id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
48,1,Job,Stepful - Senior Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,45
49,1,Job,Miro - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,46
50,1,Job,Affirma Group - Mid Level App Developer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,47
51,1,Job,Airgoods - Software Engineer - Full Stack,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,48
52,1,Job,Method Financial - Technical Integration Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,49
53,1,Job,Clarion - Senior Fullstack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,50
54,1,Job,Peregrine - Senior Fullstack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,51
55,1,Job,Jacobsen Consulting Applications - Product Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,52
56,1,Job,"DataKind - Sr Director, Engineering",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,53
57,1,Job,"Friends From The City - Technical Lead, Full Stack Engineer",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,54
58,1,Job,ContentSquare - Backend Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,55
59,1,Job,B&H - Senior Web Project Manager,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,56
60,1,Job,Braze - Senior Software Engineer - Fullstack,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,57
61,1,Job,"Semgrep - Staff Full Stack Engineer, Software Composition Analysis",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,58
62,1,Job,Replica - Software Engineer (Execution Focused),,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,59
27,1,Job,Coast - Full Stack Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-17 23:02:48.458051+00,,1,25
13,1,Job,Capitalize - Senior Software Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-27 00:21:08.461185+00,,1,12
63,1,Job,Bumble - Lead Software Engineer (BFF),,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,60
65,1,Job,Replit - Premium Support Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,62
66,1,Job,"Navan - Staff Software Engineer, Security, Risk & Fraud",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,63
